;journey_id;trip_id;journey_start_datetime;journey_start_date;journey_start_time;journey_start_lon;journey_start_lat;journey_start_insee;journey_start_department;journey_start_town;journey_start_towngroup;journey_start_country;journey_end_datetime;journey_end_date;journey_end_time;journey_end_lon;journey_end_lat;journey_end_insee;journey_end_department;journey_end_town;journey_end_towngroup;journey_end_country;passenger_seats;operator_class;journey_distance;journey_duration;has_incentive
15948;28622000;24548a10-a199-4fe3-bd97-a8b1d8cd8ea2;2024-06-01 21:00:00+02:00;;21:00:00;2.359;48.956;93059;93;Pierrefitte-sur-Seine;Métropole du Grand Paris;France;2024-06-01 21:30:00+02:00;01/06/2024;21:30:00;2.206;49.006;95051;95;Beauchamp;CA Val Parisis;France;1;C;23032;30;NON
14033;28618266;4ffa2fd9-a2e3-4c0c-9fb6-c50a004ccc30;2024-06-01 19:20:00+02:00;;19:20:00;3.143;45.818;63164;63;Gerzat;Clermont Auvergne Métropole;France;2024-06-01 19:30:00+02:00;01/06/2024;19:30:00;3.121;45.889;63300;63;Riom;CA Riom Limagne et Volcans;France;1;C;9094;15;NON
3117;28603053;80584e97-55cf-406b-91d3-a811537e150c;2024-06-01 09:30:00+02:00;;09:30:00;1.178;49.235;27351;27;Incarville;CA Seine-Eure;France;2024-06-01 10:00:00+02:00;01/06/2024;10:00:00;1.132;49.439;76540;76;Rouen;Métropole Rouen Normandie;France;1;C;31530;29;NON
863;28595659;c3afea82-406f-4219-aadf-da1880411e79;2024-06-01 05:00:00+02:00;;05:00:00;6.705;49.105;57606;57;Saint-Avold;CA Saint-Avold Synergie;France;2024-06-01 05:40:00+02:00;01/06/2024;05:40:00;6.168;49.102;57463;57;Metz;Metz Métropole;France;1;C;45783;37;NON
1101;28597227;aa7ac724-c116-4574-9650-583de931c6a6;2024-06-01 05:30:00+02:00;;05:30:00;6.305;46.154;74197;74;Nangy;CC Arve et Salève;France;2024-06-01 05:50:00+02:00;01/06/2024;05:50:00;6.215;46.182;74133;74;Gaillard;CA Annemasse-Les Voirons-Agglomération;France;1;C;12437;11;NON
186;28586197;b58298bd-afe0-4065-a0fc-cd998030bde1;2024-06-01 00:40:00+02:00;;00:40:00;-1.705;48.121;35238;35;Rennes;Rennes Métropole;France;2024-06-01 00:40:00+02:00;01/06/2024;00:40:00;-1.694;48.128;35238;35;Rennes;Rennes Métropole;France;1;C;1695;4;NON
2832;28601483;1b94c5d7-eab5-41de-a3cd-ce26618d2efb;2024-06-01 09:10:00+02:00;;09:10:00;2.573;48.848;93051;93;Noisy-le-Grand;Métropole du Grand Paris;France;2024-06-01 09:20:00+02:00;01/06/2024;09:20:00;2.633;48.841;77258;77;Lognes;CA Paris - Vallée de la Marne;France;1;C;6008;7;NON
7007;28638720;3a2be3c0-2507-4a47-ac4c-0b897ce4136c;2024-06-01 13:20:00+02:00;;13:20:00;55.71;-21.051;97410;974;Saint-Benoît;CA Intercommunale de la Réunion Est (CIREST);France;2024-06-01 13:30:00+02:00;01/06/2024;13:30:00;55.711;-21.034;97410;974;Saint-Benoît;CA Intercommunale de la Réunion Est (CIREST);France;1;C;3618;5;NON
3165;28619506;0acbfc0a-b33d-4148-9cae-da5b49802c3b;2024-06-01 09:30:00+02:00;;09:30:00;55.509;-20.91;97418;974;Sainte-Marie;CA Intercommunale du Nord de la Réunion (CINOR);France;2024-06-01 09:40:00+02:00;01/06/2024;09:40:00;55.509;-20.898;97418;974;Sainte-Marie;CA Intercommunale du Nord de la Réunion (CINOR);France;1;C;1457;3;NON
7549;28606284;2fc49b13-a596-4e11-9c56-e56d5f3437ab;2024-06-01 14:00:00+02:00;;14:00:00;7.698;48.59;67482;67;Strasbourg;Eurométropole de Strasbourg;France;2024-06-01 14:10:00+02:00;01/06/2024;14:10:00;7.72;48.591;67482;67;Strasbourg;Eurométropole de Strasbourg;France;1;C;3304;8;NON
10121;28626105;08d6b2b3-b077-4116-94e9-724d91c7b091;2024-06-01 16:10:00+02:00;;16:10:00;-0.626;44.91;33056;33;Blanquefort;Bordeaux Métropole;France;2024-06-01 16:30:00+02:00;01/06/2024;16:30:00;-0.676;44.845;33281;33;Mérignac;Bordeaux Métropole;France;1;C;9756;12;NON
11382;28614340;dc44fa22-892b-4ba4-9b48-dd86ed53215d;2024-06-01 17:20:00+02:00;;17:20:00;2.232;48.777;92023;92;Clamart;Métropole du Grand Paris;France;2024-06-01 17:30:00+02:00;01/06/2024;17:30:00;2.226;48.773;78640;78;Vélizy-Villacoublay;CA Versailles Grand Parc (CAVGP);France;1;C;3006;6;NON
13262;28620418;c1b87aa0-b97e-477d-84b2-8faec6f270ab;2024-06-01 18:40:00+02:00;;18:40:00;4.607;45.829;69010;69;L'Arbresle;CC du Pays de l'Arbresle (CCPA);France;2024-06-01 18:40:00+02:00;01/06/2024;18:40:00;4.623;45.839;69086;69;Fleurieux-sur-l'Arbresle;CC du Pays de l'Arbresle (CCPA);France;1;C;2709;6;NON
5613;28608652;ef0cc81d-96e6-4cb3-b4e4-6572d9efefdb;2024-06-01 12:10:00+02:00;;12:10:00;2.593;49.298;60509;60;Pont-Sainte-Maxence;CC des Pays d'Oise et d'Halatte;France;2024-06-01 12:50:00+02:00;01/06/2024;12:50:00;2.547;49.009;95527;95;Roissy-en-France;CA Roissy Pays de France;France;1;C;38952;39;NON
10680;28618019;1a4990d3-83e9-44c1-b0c4-20a9022626c7;2024-06-01 16:40:00+02:00;;16:40:00;-0.739;46.11;17434;17;Surgères;CC Aunis Sud;France;2024-06-01 17:10:00+02:00;01/06/2024;17:10:00;-0.954;46.141;17315;17;Saint-Christophe;CA de La Rochelle;France;1;C;20526;26;NON
4513;28601650;8cb66f9f-05a8-4dee-8abd-47ecb3f58d59;2024-06-01 11:10:00+02:00;;11:10:00;3.14;45.754;63014;63;Aubière;Clermont Auvergne Métropole;France;2024-06-01 11:30:00+02:00;01/06/2024;11:30:00;3.246;45.75;63226;63;Mur-sur-Allier;CC Billom Communauté;France;1;C;11345;17;NON
14551;28622713;12761420-d97a-492c-891f-5880c94eec55;2024-06-01 19:40:00+02:00;;19:40:00;-61.74;16.016;97104;971;Baillif;CA Grand Sud Caraïbe;France;2024-06-01 19:50:00+02:00;01/06/2024;19:50:00;-61.746;16.024;97104;971;Baillif;CA Grand Sud Caraïbe;France;1;C;1338;16;NON
13102;28623054;6e2f345f-57eb-4085-8420-a072eb0fae9b;2024-06-01 18:30:00+02:00;;18:30:00;6.12;46.17;99140;;;;SUISSE;2024-06-01 19:10:00+02:00;01/06/2024;19:10:00;6.113;45.906;74010;74;Annecy;CA du Grand Annecy;France;1;C;42154;36;NON
11800;28614609;9e34e430-3318-4605-be2a-7ea7bda21210;2024-06-01 17:40:00+02:00;;17:40:00;3.98;43.545;34154;34;Mauguio;CA du Pays de l'Or;France;2024-06-01 17:50:00+02:00;01/06/2024;17:50:00;3.959;43.562;34198;34;Pérols;Montpellier Méditerranée Métropole;France;1;C;5928;9;NON
4970;28636057;e0e333dd-9ced-4bd8-97ba-d79d0aabf17f;2024-06-01 11:30:00+02:00;;11:30:00;5.111;43.329;13104;13;Sausset-les-Pins;Métropole d'Aix-Marseille-Provence;France;2024-06-01 11:40:00+02:00;01/06/2024;11:40:00;5.164;43.332;13021;13;Carry-le-Rouet;Métropole d'Aix-Marseille-Provence;France;1;C;5504;10;NON
3417;28603206;98f2ad47-fa2d-433c-8e89-0060fc612993;2024-06-01 09:50:00+02:00;;09:50:00;2.717;50.475;62563;62;Mazingarbe;CA de Lens - Liévin;France;2024-06-01 10:00:00+02:00;01/06/2024;10:00:00;2.732;50.446;62186;62;Bully-les-Mines;CA de Lens - Liévin;France;1;C;4256;7;NON
1022;28597169;5c026365-2ea2-4dbb-833f-ad995b7a3380;2024-06-01 05:20:00+02:00;;05:20:00;6.8;49.14;57240;57;Freyming-Merlebach;CC de Freyming-Merlebach;France;2024-06-01 05:50:00+02:00;01/06/2024;05:50:00;7.09;49.105;57631;57;Sarreguemines;CA Sarreguemines Confluences;France;1;C;32422;26;NON
16562;28625958;18d10df3-7db7-433f-a002-0c7f8632c8a8;2024-06-01 22:10:00+02:00;;22:10:00;-1.116;46.132;17028;17;Aytré;CA de La Rochelle;France;2024-06-01 22:20:00+02:00;01/06/2024;22:20:00;-1.129;46.165;17300;17;La Rochelle;CA de La Rochelle;France;1;C;7097;11;NON
13198;28617070;be5f821a-7e27-426d-a205-08799789f75d;2024-06-01 18:40:00+02:00;;18:40:00;2.205;48.779;78640;78;Vélizy-Villacoublay;CA Versailles Grand Parc (CAVGP);France;2024-06-01 18:50:00+02:00;01/06/2024;18:50:00;2.231;48.788;92048;92;Meudon;Métropole du Grand Paris;France;1;C;2435;8;NON
13504;28621701;87aee1a6-5ae4-439a-8b6d-9a16f29deb5b;2024-06-01 18:50:00+02:00;;18:50:00;2.708;50.422;62019;62;Aix-Noulette;CA de Lens - Liévin;France;2024-06-01 19:10:00+02:00;01/06/2024;19:10:00;2.562;50.47;62400;62;Haillicourt;CA de Béthune-Bruay, Artois-Lys Romane;France;1;C;16366;17;NON
10033;28612103;fd025768-e43a-4f66-971f-7e40a67b7a79;2024-06-01 16:10:00+02:00;;16:10:00;2.5;49.049;95351;95;Louvres;CA Roissy Pays de France;France;2024-06-01 16:20:00+02:00;01/06/2024;16:20:00;2.499;49.079;95371;95;Marly-la-Ville;CA Roissy Pays de France;France;1;C;3579;8;NON
12764;28621540;233f6aad-99ea-49c1-827f-cd748fb7eb54;2024-06-01 18:20:00+02:00;;18:20:00;2.491;50.612;62391;62;Guarbecque;CA de Béthune-Bruay, Artois-Lys Romane;France;2024-06-01 18:40:00+02:00;01/06/2024;18:40:00;2.562;50.595;62713;62;Robecq;CA de Béthune-Bruay, Artois-Lys Romane;France;1;C;7232;11;NON
13529;28621727;5facf748-02da-4097-97df-52ec899bfade;2024-06-01 18:50:00+02:00;;18:50:00;2.582;50.494;62178;62;Bruay-la-Buissière;CA de Béthune-Bruay, Artois-Lys Romane;France;2024-06-01 19:30:00+02:00;01/06/2024;19:30:00;2.942;50.456;62250;62;Courrières;CA d'Hénin-Carvin;France;1;C;38682;36;NON
13208;28617292;ffab87a1-d191-4037-b80e-eae6ed1a29fe;2024-06-01 18:40:00+02:00;;18:40:00;7.727;48.651;67309;67;Mundolsheim;Eurométropole de Strasbourg;France;2024-06-01 19:00:00+02:00;01/06/2024;19:00:00;7.787;48.612;67482;67;Strasbourg;Eurométropole de Strasbourg;France;1;C;11269;19;NON
13149;28647806;ca7efc3f-17c2-4217-bbc9-9975f876e8dc;2024-06-01 18:40:00+02:00;;18:40:00;2.078;49.033;95127;95;Cergy;CA de Cergy-Pontoise;France;2024-06-01 19:00:00+02:00;01/06/2024;19:00:00;2.288;48.965;95555;95;Saint-Gratien;CA Plaine Vallée;France;1;C;20632;23;NON
2939;28598695;ccd01f68-a61e-48db-a18f-bdc2d1e0ee7a;2024-06-01 09:20:00+02:00;;09:20:00;6.917;43.605;06007;06;Auribeau-sur-Siagne;CA du Pays de Grasse;France;2024-06-01 09:40:00+02:00;01/06/2024;09:40:00;7.054;43.595;06155;06;Vallauris;CA de Sophia Antipolis;France;1;C;22500;22;NON
7464;28611680;7e39b515-243f-421c-9fab-b3fdedb95e40;2024-06-01 13:50:00+02:00;;13:50:00;7.258;49.037;57083;57;Bining;CC du Pays de Bitche;France;2024-06-01 14:20:00+02:00;01/06/2024;14:20:00;7.095;49.113;57631;57;Sarreguemines;CA Sarreguemines Confluences;France;1;C;18476;23;NON
16551;28623679;2b1cfd98-6508-47f9-9b4a-66f9dfd7566d;2024-06-01 22:10:00+02:00;;22:10:00;2.2;48.891;92050;92;Nanterre;Métropole du Grand Paris;France;2024-06-01 22:30:00+02:00;01/06/2024;22:30:00;1.912;48.99;78440;78;Les Mureaux;CU Grand Paris Seine et Oise;France;1;C;28973;24;NON
16108;28652291;5e19b3d1-9d63-4bdb-93e9-372fae1fb3ec;2024-06-01 21:10:00+02:00;;21:10:00;2.657;48.85;77468;77;Torcy;CA Paris - Vallée de la Marne;France;2024-06-01 21:20:00+02:00;01/06/2024;21:20:00;2.614;48.782;77373;77;Pontault-Combault;CA Paris - Vallée de la Marne;France;1;C;11092;11;NON
14362;28623260;a43cdd5b-084a-4c62-b731-fe59b777cbd3;2024-06-01 19:30:00+02:00;;19:30:00;2.113;48.827;78158;78;Le Chesnay-Rocquencourt;CA Versailles Grand Parc (CAVGP);France;2024-06-01 19:50:00+02:00;01/06/2024;19:50:00;2.012;48.92;78498;78;Poissy;CU Grand Paris Seine et Oise;France;1;C;16544;17;NON
5026;28602580;bf2c32f6-b981-4215-afac-ec3f2ac849ec;2024-06-01 11:40:00+02:00;;11:40:00;6.885;43.644;06095;06;Peymeinade;CA du Pays de Grasse;France;2024-06-01 12:00:00+02:00;01/06/2024;12:00:00;6.948;43.65;06069;06;Grasse;CA du Pays de Grasse;France;1;C;8384;17;NON
3535;28603251;c416d729-ae5a-4ecb-b96d-6d56290a2270;2024-06-01 10:00:00+02:00;;10:00:00;1.904;49.577;60557;60;Roy-Boissy;CC de la Picardie Verte;France;2024-06-01 10:40:00+02:00;01/06/2024;10:40:00;2.088;49.426;60057;60;Beauvais;CA du Beauvaisis;France;1;C;26347;35;NON
8491;28609254;fdceb66a-c138-4937-b911-cff2e1b7cdf8;2024-06-01 14:50:00+02:00;;14:50:00;2.394;48.872;75120;75;Paris;Métropole du Grand Paris;France;2024-06-01 15:30:00+02:00;01/06/2024;15:30:00;2.508;49.088;95371;95;Marly-la-Ville;CA Roissy Pays de France;France;1;C;38796;44;NON
9936;28642999;2dfa759c-e1af-4873-99b0-e76473c66c90;2024-06-01 16:00:00+02:00;;16:00:00;4.4;45.427;42218;42;Saint-Étienne;Saint-Etienne Métropole;France;2024-06-01 16:10:00+02:00;01/06/2024;16:10:00;4.338;45.445;42223;42;Saint-Genest-Lerpt;Saint-Etienne Métropole;France;1;C;10968;14;NON
15230;28623493;97f17a38-727b-4e07-bed5-49f13147af83;2024-06-01 20:10:00+02:00;;20:10:00;2.476;48.958;93005;93;Aulnay-sous-Bois;Métropole du Grand Paris;France;2024-06-01 20:40:00+02:00;01/06/2024;20:40:00;2.425;49.113;95352;95;Luzarches;CC Carnelle Pays-de-France;France;1;C;24538;24;NON
1718;28631146;5fa4e839-880a-44c3-820e-2ae7b135235b;2024-06-01 07:10:00+02:00;;07:10:00;2.485;48.804;94068;94;Saint-Maur-des-Fossés;Métropole du Grand Paris;France;2024-06-01 07:30:00+02:00;01/06/2024;07:30:00;2.364;48.788;94076;94;Villejuif;Métropole du Grand Paris;France;1;C;15877;24;NON
12548;28620092;145588dd-e177-4e6b-8db4-e4bbebbd7646;2024-06-01 18:10:00+02:00;;18:10:00;7.484;48.38;67481;67;Stotzheim;CC du Pays de Barr;France;2024-06-01 18:30:00+02:00;01/06/2024;18:30:00;7.482;48.501;67411;67;Rosheim;CC des Portes de Rosheim;France;1;C;18134;17;NON
9451;28610748;1cdfa2e1-1645-4453-a39f-f3fd0df993b7;2024-06-01 15:40:00+02:00;;15:40:00;2.402;48.826;94018;94;Charenton-le-Pont;Métropole du Grand Paris;France;2024-06-01 15:50:00+02:00;01/06/2024;15:50:00;2.426;48.805;94046;94;Maisons-Alfort;Métropole du Grand Paris;France;1;C;4507;15;NON
6653;28604463;b5b85484-2cbd-46b9-933e-5bc02e0503e6;2024-06-01 13:10:00+02:00;;13:10:00;2.345;48.819;75113;75;Paris;Métropole du Grand Paris;France;2024-06-01 13:10:00+02:00;01/06/2024;13:10:00;2.324;48.823;75114;75;Paris;Métropole du Grand Paris;France;1;C;1580;4;NON
13709;28621765;c5beb39a-f923-46fb-86d9-6152ae678859;2024-06-01 19:00:00+02:00;;19:00:00;-1.12;46.178;17291;17;Puilboreau;CA de La Rochelle;France;2024-06-01 19:20:00+02:00;01/06/2024;19:20:00;-0.999;46.072;17443;17;Thairé;CA de La Rochelle;France;1;C;20217;25;NON
3928;28604249;b338eb2c-8862-4011-85c3-0c2845c2f112;2024-06-01 10:30:00+02:00;;10:30:00;2.244;48.585;91021;91;Arpajon;CA Cœur d'Essonne Agglomération;France;2024-06-01 10:50:00+02:00;01/06/2024;10:50:00;2.287;48.686;91345;91;Longjumeau;CA Communauté Paris-Saclay;France;1;C;13406;21;NON
7564;28606967;a3fb928c-1da7-486a-923b-98bdc717ce76;2024-06-01 14:00:00+02:00;;14:00:00;2.958;48.374;77482;77;Varennes-sur-Seine;CC Pays de Montereau;France;2024-06-01 14:10:00+02:00;01/06/2024;14:10:00;2.906;48.386;77210;77;La Grande-Paroisse;CC Pays de Montereau;France;1;C;4084;9;NON
7096;28611571;fce1fd66-1e7f-4ed9-b54d-b685d053ebfe;2024-06-01 13:30:00+02:00;;13:30:00;4.901;45.823;69286;69;Rillieux-la-Pape;Métropole de Lyon;France;2024-06-01 13:40:00+02:00;01/06/2024;13:40:00;4.85;45.798;69034;69;Caluire-et-Cuire;Métropole de Lyon;France;1;C;5128;8;NON
4487;28637554;caf8f6e9-dbb1-4434-bf00-8c306b6fdf70;2024-06-01 11:00:00+02:00;;11:00:00;2.756;50.406;62032;62;Angres;CA de Lens - Liévin;France;2024-06-01 11:10:00+02:00;01/06/2024;11:10:00;2.777;50.415;62510;62;Liévin;CA de Lens - Liévin;France;1;C;2011;8;NON
15485;28620194;df8cf29d-f423-4f8c-a9df-b63cb1d1c5b4;2024-06-01 20:30:00+02:00;;20:30:00;7.772;48.543;67482;67;Strasbourg;Eurométropole de Strasbourg;France;2024-06-01 20:30:00+02:00;01/06/2024;20:30:00;7.783;48.524;67482;67;Strasbourg;Eurométropole de Strasbourg;France;1;C;3000;7;NON
10789;28613455;55e435ba-17bc-4d03-9e37-dfa87fe3e278;2024-06-01 16:50:00+02:00;;16:50:00;5.387;43.315;13214;13;Marseille;Métropole d'Aix-Marseille-Provence;France;2024-06-01 17:10:00+02:00;01/06/2024;17:10:00;5.394;43.292;13205;13;Marseille;Métropole d'Aix-Marseille-Provence;France;1;C;3692;12;NON
2282;28601229;6be19dbd-77aa-47b9-9802-93d8d6792b9d;2024-06-01 08:20:00+02:00;;08:20:00;3.746;43.581;34202;34;Pignan;Montpellier Méditerranée Métropole;France;2024-06-01 08:50:00+02:00;01/06/2024;08:50:00;3.773;43.433;34108;34;Frontignan;CA Sète Agglopôle Méditerranée;France;1;C;24250;29;NON
15632;28651535;d8b09a76-7c1e-4c48-b28a-999b4aae7cc2;2024-06-01 20:40:00+02:00;;20:40:00;2.439;48.592;91659;91;Villabé;CA Grand Paris Sud Seine Essonne Sénart;France;2024-06-01 20:50:00+02:00;01/06/2024;20:50:00;2.461;48.618;91174;91;Corbeil-Essonnes;CA Grand Paris Sud Seine Essonne Sénart;France;1;C;5602;8;NON
4903;28606659;0ec2c89d-234d-4625-86eb-7bafaa5b36b1;2024-06-01 11:30:00+02:00;;11:30:00;2.288;49.637;60104;60;Breteuil;CC de l'Oise Picarde;France;2024-06-01 12:00:00+02:00;01/06/2024;12:00:00;2.096;49.455;60639;60;Tillé;CA du Beauvaisis;France;1;C;33633;29;NON
1462;28598420;c61a8134-23f4-4a59-8672-a2dfa6bae6b3;2024-06-01 06:30:00+02:00;;06:30:00;6.064;46.338;01173;01;Gex;CA du Pays de Gex;France;2024-06-01 07:30:00+02:00;01/06/2024;07:30:00;6.65;46.53;99140;;;;SUISSE;1;C;61092;51;NON
11215;28618133;0abb4934-3373-4be2-8b75-b93d57a71160;2024-06-01 17:10:00+02:00;;17:10:00;1.066;49.407;76322;76;Le Grand-Quevilly;Métropole Rouen Normandie;France;2024-06-01 17:40:00+02:00;01/06/2024;17:40:00;1.173;49.224;27375;27;Louviers;CA Seine-Eure;France;1;C;28685;26;NON
10071;28616201;b45c6466-d55f-46de-b66c-f16c4b77455d;2024-06-01 16:10:00+02:00;;16:10:00;3.817;43.554;34095;34;Fabrègues;Montpellier Méditerranée Métropole;France;2024-06-01 16:40:00+02:00;01/06/2024;16:40:00;4.007;43.609;34154;34;Mauguio;CA du Pays de l'Or;France;1;C;25525;34;NON
3252;28599853;35244eb2-b5d1-47f3-b015-ec54da9b1c84;2024-06-01 09:40:00+02:00;;09:40:00;2.565;48.843;93051;93;Noisy-le-Grand;Métropole du Grand Paris;France;2024-06-01 10:00:00+02:00;01/06/2024;10:00:00;2.534;48.784;94055;94;Ormesson-sur-Marne;Métropole du Grand Paris;France;1;C;9813;22;NON
433;28590492;51e8373a-9f52-4afb-a7e6-93a020888af6;2024-06-01 01:40:00+02:00;;01:40:00;-1.951;48.185;35023;35;Bédée;CC Montfort Communauté;France;2024-06-01 02:30:00+02:00;01/06/2024;02:30:00;-2.684;48.481;22389;22;Yffiniac;CA Saint-Brieuc Armor Agglomération;France;1;C;71233;54;NON
12318;28620026;58e8b38c-0f98-400a-ab63-9a5879c32a84;2024-06-01 18:00:00+02:00;;18:00:00;-0.798;48.068;53130;53;Laval;CA Laval Agglomération;France;2024-06-01 18:10:00+02:00;01/06/2024;18:10:00;-0.767;48.071;53130;53;Laval;CA Laval Agglomération;France;1;C;2616;6;NON
7875;28639905;77b53021-e74a-49b3-9cd7-c7df7e34d2fb;2024-06-01 14:10:00+02:00;;14:10:00;55.466;-20.885;97411;974;Saint-Denis;CA Intercommunale du Nord de la Réunion (CINOR);France;2024-06-01 14:20:00+02:00;01/06/2024;14:20:00;55.521;-20.899;97418;974;Sainte-Marie;CA Intercommunale du Nord de la Réunion (CINOR);France;1;C;7006;8;NON
10423;28613050;9bae613c-20c4-44e5-8b97-4e42a2bbaff5;2024-06-01 16:30:00+02:00;;16:30:00;2.221;49.015;95607;95;Taverny;CA Val Parisis;France;2024-06-01 16:40:00+02:00;01/06/2024;16:40:00;2.247;48.979;95582;95;Sannois;CA Val Parisis;France;1;C;6284;8;NON
9205;28641938;b069e67b-cf3c-4361-b099-81f105bccea3;2024-06-01 15:20:00+02:00;;15:20:00;2.159;48.576;91105;91;Breuillet;CA Cœur d'Essonne Agglomération;France;2024-06-01 15:40:00+02:00;01/06/2024;15:40:00;2.245;48.623;91339;91;Linas;CA Communauté Paris-Saclay;France;1;C;13162;18;NON
16281;28625902;cc967fd1-c782-42e6-bd1d-dcb50dc5e499;2024-06-01 21:30:00+02:00;;21:30:00;-2.759;47.531;56240;56;Sarzeau;CA Golfe du Morbihan - Vannes Agglomération;France;2024-06-01 22:10:00+02:00;01/06/2024;22:10:00;-2.812;47.701;56158;56;Plescop;CA Golfe du Morbihan - Vannes Agglomération;France;1;A;31497;35;NON
657;28590528;a6f6a15c-696a-4012-b391-0711cdd4e90f;2024-06-01 03:50:00+02:00;;03:50:00;6.968;43.554;06029;06;Cannes;CA Cannes Pays de Lérins;France;2024-06-01 04:20:00+02:00;01/06/2024;04:20:00;6.978;43.639;06069;06;Grasse;CA du Pays de Grasse;France;1;C;18117;30;NON
9447;28610429;d548965c-6437-4388-b9ba-83f3cf0e7628;2024-06-01 15:40:00+02:00;;15:40:00;2.12;49.054;95572;95;Saint-Ouen-l'Aumône;CA de Cergy-Pontoise;France;2024-06-01 16:00:00+02:00;01/06/2024;16:00:00;2.19;49.004;95306;95;Herblay-sur-Seine;CA Val Parisis;France;1;C;14056;17;NON
9593;28609640;5a40eb49-69c3-4ec6-92e2-1acb4c0e052a;2024-06-01 15:50:00+02:00;;15:50:00;6.377;46.772;25307;25;Les Hôpitaux-Neufs;CC des Lacs et Montagnes du Haut-Doubs;France;2024-06-01 15:50:00+02:00;01/06/2024;15:50:00;6.371;46.779;25307;25;Les Hôpitaux-Neufs;CC des Lacs et Montagnes du Haut-Doubs;France;1;C;1095;2;NON
