;journey_id;trip_id;journey_start_datetime;journey_start_date;journey_start_time;journey_start_lon;journey_start_lat;journey_start_insee;journey_start_department;journey_start_town;journey_start_towngroup;journey_start_country;journey_end_datetime;journey_end_date;journey_end_time;journey_end_lon;journey_end_lat;journey_end_insee;journey_end_department;journey_end_town;journey_end_towngroup;journey_end_country;passenger_seats;operator_class;journey_distance;journey_duration;has_incentive
4419;30079824;81d84473-9d95-4abb-aa51-43b6b1c81693;2024-07-01 07:00:00+02:00;2024-07-01;07:00:00;5.994;47.277;25212;25;École-Valentin;CU Grand Besançon Métropole;France;2024-07-01 08:00:00+02:00;2024-07-01;08:00:00;6.803;47.499;25388;25;Montbéliard;CA Pays de Montbéliard Agglomération;France;1;B;75830;53;NON
12463;30086766;bdcaf8a2-42bf-4e83-9dd9-67230a74a8f6;2024-07-01 08:10:00+02:00;2024-07-01;08:10:00;6.408;46.073;74042;74;Bonneville;CC Faucigny-Glières;France;2024-07-01 08:30:00+02:00;2024-07-01;08:30:00;6.529;46.076;74278;74;Thyez;CC Cluses-Arve et Montagnes;France;1;C;10470;11;NON
94;30070936;3d8ba833-d5a4-4baa-a29a-522015af38b9;2024-07-01 00:10:00+02:00;2024-07-01;00:10:00;4.598;43.937;30116;30;Fournès;CC du Pont du Gard;France;2024-07-01 01:00:00+02:00;2024-07-01;01:00:00;3.999;43.655;34022;34;Baillargues;Montpellier Méditerranée Métropole;France;1;C;63437;44;NON
11770;30085910;916b38fb-efe0-4233-b939-2ca572517e26;2024-07-01 08:00:00+02:00;2024-07-01;08:00:00;3.978;49.25;51573;51;Tinqueux;CU du Grand Reims;France;2024-07-01 08:40:00+02:00;2024-07-01;08:40:00;3.397;49.05;02168;02;Château-Thierry;CA de la Région de Château-Thierry;France;1;C;53063;39;NON
21177;30147490;0651d2dc-60f7-4409-8050-7e283dfab054;2024-07-01 15:40:00+02:00;2024-07-01;15:40:00;2.081;49.434;60057;60;Beauvais;CA du Beauvaisis;France;2024-07-01 15:40:00+02:00;2024-07-01;15:40:00;2.115;49.409;60057;60;Beauvais;CA du Beauvaisis;France;1;C;5204;7;NON
26784;30150851;2a60e4bf-fab7-4854-84ee-462d84780d1c;2024-07-01 17:10:00+02:00;2024-07-01;17:10:00;2.653;48.613;77306;77;Montereau-sur-le-Jard;CA Melun Val de Seine;France;2024-07-01 17:30:00+02:00;2024-07-01;17:30:00;2.6;48.731;77249;77;Lésigny;CC Les Portes Briardes entre Villes et Forêts;France;1;C;17632;20;NON
19478;30144886;82b4322b-9d22-4294-8d57-a15398134fdd;2024-07-01 13:50:00+02:00;2024-07-01;13:50:00;55.455;-21.262;97414;974;Saint-Louis;CA CIVIS (Communauté Intercommunale des Villes Solidaires);France;2024-07-01 14:10:00+02:00;2024-07-01;14:10:00;55.299;-21.216;97413;974;Saint-Leu;CA Territoire de la Côte Ouest (TCO);France;1;C;24252;19;NON
6136;30082243;cac110e8-a1f9-4294-8177-4e28cf0efac6;2024-07-01 07:20:00+02:00;2024-07-01;07:20:00;1.874;50.572;62670;62;Preures;CC du Haut Pays du Montreuillois;France;2024-07-01 08:00:00+02:00;2024-07-01;08:00:00;1.594;50.73;62160;62;Boulogne-sur-Mer;CA du Boulonnais;France;1;C;35289;45;NON
3357;30078984;69274c3f-73ee-4b44-a9be-4a0ebbedbdf9;2024-07-01 06:40:00+02:00;2024-07-01;06:40:00;4.989;45.351;38290;38;Pact;CC Entre Bièvre et Rhône;France;2024-07-01 07:30:00+02:00;2024-07-01;07:30:00;4.794;45.58;38087;38;Chasse-sur-Rhône;CA Vienne Condrieu;France;1;C;38702;46;NON
24343;30150044;1b54bc9b-0904-4696-a360-8ff8b4681df3;2024-07-01 16:50:00+02:00;2024-07-01;16:50:00;1.361;43.597;31149;31;Colomiers;Toulouse Métropole;France;2024-07-01 17:00:00+02:00;2024-07-01;17:00:00;1.419;43.609;31555;31;Toulouse;Toulouse Métropole;France;1;C;6495;8;NON
184;30069679;b0d3be4c-aeff-44e2-b3e5-b5b02f401268;2024-07-01 00:30:00+02:00;2024-07-01;00:30:00;-0.369;43.304;64445;64;Pau;CA Pau Béarn Pyrénées;France;2024-07-01 00:40:00+02:00;2024-07-01;00:40:00;-0.364;43.322;64445;64;Pau;CA Pau Béarn Pyrénées;France;1;C;2687;5;NON
25790;30150360;68a6aff6-574f-4ec4-a0d6-1ecf2a1df5d8;2024-07-01 17:00:00+02:00;2024-07-01;17:00:00;2.252;48.706;91661;91;Villebon-sur-Yvette;CA Communauté Paris-Saclay;France;2024-07-01 17:20:00+02:00;2024-07-01;17:20:00;2.202;48.733;91635;91;Vauhallan;CA Communauté Paris-Saclay;France;1;C;8946;16;NON
35376;30115660;dd13c153-8fbb-47b4-9126-e44660804aca;2024-07-01 20:50:00+02:00;2024-07-01;20:50:00;6.111;49.362;57672;57;Thionville;CA Portes de France-Thionville;France;2024-07-01 21:30:00+02:00;2024-07-01;21:30:00;6.09;49.79;99137;;;;LUXEMBOURG;1;C;56242;44;NON
15232;30089525;638468d0-bc9e-449f-9f0b-9c9d626c4b03;2024-07-01 08:50:00+02:00;2024-07-01;08:50:00;-1.614;47.093;44041;44;La Chevrolière;CC Grand Lieu Communauté;France;2024-07-01 09:00:00+02:00;2024-07-01;09:00:00;-1.566;47.074;44041;44;La Chevrolière;CC Grand Lieu Communauté;France;1;B;4894;7;NON
22937;30103771;15b1a535-b981-403e-ba22-6bc2d18c11b5;2024-07-01 16:30:00+02:00;2024-07-01;16:30:00;6.095;46.146;74243;74;Saint-Julien-en-Genevois;CC du Genevois;France;2024-07-01 17:00:00+02:00;2024-07-01;17:00:00;6.295;46.152;74197;74;Nangy;CC Arve et Salève;France;1;C;23891;22;NON
32138;30153778;377a26f6-1897-48b4-b2a6-edecfe59ac98;2024-07-01 18:10:00+02:00;2024-07-01;18:10:00;55.655;-20.973;97409;974;Saint-André;CA Intercommunale de la Réunion Est (CIREST);France;2024-07-01 18:10:00+02:00;2024-07-01;18:10:00;55.65;-20.96;97409;974;Saint-André;CA Intercommunale de la Réunion Est (CIREST);France;1;C;2603;5;NON
23196;30149663;f0720863-51be-4e39-b1c0-33f60de7c232;2024-07-01 16:30:00+02:00;2024-07-01;16:30:00;2.792;48.841;77449;77;Serris;CA Val d'Europe Agglomération;France;2024-07-01 16:50:00+02:00;2024-07-01;16:50:00;2.708;48.884;77464;77;Thorigny-sur-Marne;CA Marne et Gondoire;France;1;C;10280;16;NON
32414;30112241;4787c27b-a90f-4e11-bb00-5b78cdb487bc;2024-07-01 18:20:00+02:00;2024-07-01;18:20:00;4.185;43.7;30006;30;Aimargues;CC de Petite Camargue;France;2024-07-01 19:00:00+02:00;2024-07-01;19:00:00;3.894;43.608;34172;34;Montpellier;Montpellier Méditerranée Métropole;France;1;C;32453;30;NON
22139;30148325;e0c5b189-877d-4dab-8c91-0a2d3470b9c8;2024-07-01 16:10:00+02:00;2024-07-01;16:10:00;2.171;48.73;91534;91;Saclay;CA Communauté Paris-Saclay;France;2024-07-01 16:30:00+02:00;2024-07-01;16:30:00;2.252;48.706;91661;91;Villebon-sur-Yvette;CA Communauté Paris-Saclay;France;1;C;15135;15;NON
32729;30112360;a82b9f4d-4dbf-4e6d-babe-735228c2c193;2024-07-01 18:30:00+02:00;2024-07-01;18:30:00;1.442;49.733;76462;76;Neufchâtel-en-Bray;CC Communauté Bray-Eawy;France;2024-07-01 19:20:00+02:00;2024-07-01;19:20:00;0.765;49.604;76758;76;Yvetot;CC Yvetot Normandie;France;1;C;57678;46;NON
33261;30112688;ccb2071f-2826-44e9-9636-e0a4cd0e8b7f;2024-07-01 18:50:00+02:00;2024-07-01;18:50:00;2.262;48.725;91377;91;Massy;CA Communauté Paris-Saclay;France;2024-07-01 19:00:00+02:00;2024-07-01;19:00:00;2.261;48.765;92019;92;Châtenay-Malabry;Métropole du Grand Paris;France;1;C;7057;12;NON
2758;30081908;33880660-ff54-4281-a2b3-8388c1198954;2024-07-01 06:20:00+02:00;2024-07-01;06:20:00;6.074;45.88;74010;74;Annecy;CA du Grand Annecy;France;2024-07-01 06:50:00+02:00;2024-07-01;06:50:00;6.1;46.16;99140;;;;SUISSE;1;C;38832;35;NON
25532;30105807;7285d0cd-4fa7-437b-b4d9-3e2917086b34;2024-07-01 17:00:00+02:00;2024-07-01;17:00:00;4.363;45.479;42275;42;Saint-Priest-en-Jarez;Saint-Etienne Métropole;France;2024-07-01 17:20:00+02:00;2024-07-01;17:20:00;4.513;45.465;42207;42;Saint-Chamond;Saint-Etienne Métropole;France;1;C;16466;19;NON
29225;30109242;59f7bf18-2ca4-47f2-b97a-38e271a77d74;2024-07-01 17:40:00+02:00;2024-07-01;17:40:00;2.68;50.631;62502;62;Lestrem;CC Flandre Lys;France;2024-07-01 18:20:00+02:00;2024-07-01;18:20:00;3.04;50.626;59350;59;Lille;Métropole Européenne de Lille;France;1;C;32618;36;NON
31418;30110777;0071b44d-f96f-4ed7-b53d-8534799e2fc7;2024-07-01 18:00:00+02:00;2024-07-01;18:00:00;7.121;43.646;06161;06;Villeneuve-Loubet;CA de Sophia Antipolis;France;2024-07-01 18:20:00+02:00;2024-07-01;18:20:00;7.244;43.69;06088;06;Nice;Métropole Nice Côte d'Azur;France;1;C;13327;17;NON
5439;30080573;a94940ec-d189-4b75-9aa3-e57a19463d14;2024-07-01 07:10:00+02:00;2024-07-01;07:10:00;3.706;43.491;34113;34;Gigean;CA Sète Agglopôle Méditerranée;France;2024-07-01 07:30:00+02:00;2024-07-01;07:30:00;3.704;43.408;34301;34;Sète;CA Sète Agglopôle Méditerranée;France;1;C;12075;16;NON
5428;30080562;ca8a546b-fd5f-4187-afc8-e75592143cad;2024-07-01 07:10:00+02:00;2024-07-01;07:10:00;7.017;43.575;06030;06;Le Cannet;CA Cannes Pays de Lérins;France;2024-07-01 07:30:00+02:00;2024-07-01;07:30:00;7.052;43.618;06152;06;Valbonne;CA de Sophia Antipolis;France;1;C;9044;16;NON
18818;30097593;c9bd76ee-78ad-4734-b4cc-df847c478a90;2024-07-01 13:20:00+02:00;2024-07-01;13:20:00;2.133;49.22;60395;60;Méru;CC des Sablons;France;2024-07-01 13:50:00+02:00;2024-07-01;13:50:00;2.102;49.434;60057;60;Beauvais;CA du Beauvaisis;France;1;C;35999;28;NON
9216;30095342;bf04c315-37ee-4d6f-a4d6-c9802c8ad2bd;2024-07-01 07:50:00+02:00;2024-07-01;07:50:00;5.881;45.282;38140;38;Crolles;CC Le Grésivaudan;France;2024-07-01 08:20:00+02:00;2024-07-01;08:20:00;5.737;45.187;38185;38;Grenoble;Grenoble-Alpes-Métropole;France;1;C;22248;31;NON
24357;30150068;667d6196-dfd4-4151-bdbf-153e58f644a2;2024-07-01 16:50:00+02:00;2024-07-01;16:50:00;-1.302;47.069;44165;44;Saint-Hilaire-de-Clisson;CA Clisson Sèvre et Maine Agglo;France;2024-07-01 17:10:00+02:00;2024-07-01;17:10:00;-1.296;46.951;85146;85;Montaigu-Vendée;CA Terres de Montaigu;France;1;C;19664;21;NON
13293;30088167;6cd491c4-fdfa-4026-abc5-4cd60364d4f2;2024-07-01 08:20:00+02:00;2024-07-01;08:20:00;7.116;43.574;06004;06;Antibes;CA de Sophia Antipolis;France;2024-07-01 08:30:00+02:00;2024-07-01;08:30:00;7.02;43.61;06085;06;Mougins;CA Cannes Pays de Lérins;France;1;C;11118;15;NON
27382;30107995;7077bf83-e286-419e-96c6-012f5975de32;2024-07-01 17:20:00+02:00;2024-07-01;17:20:00;0.797;47.431;37281;37;Vouvray;CC Touraine-Est Vallées;France;2024-07-01 18:00:00+02:00;2024-07-01;18:00:00;0.75;47.286;37266;37;Veigné;CC Touraine Vallée de l'Indre;France;1;C;30456;37;NON
36026;30116836;d0f4992b-b1dd-4d61-a81c-7f3c37250208;2024-07-01 21:30:00+02:00;2024-07-01;21:30:00;2.888;50.41;62570;62;Méricourt;CA de Lens - Liévin;France;2024-07-01 21:40:00+02:00;2024-07-01;21:40:00;2.87;50.419;62771;62;Sallaumines;CA de Lens - Liévin;France;1;C;2595;5;NON
36485;30117030;7f54f270-c993-4061-a403-2a5f7a1378c3;2024-07-01 22:10:00+02:00;2024-07-01;22:10:00;-0.499;47.431;49246;49;Les Ponts-de-Cé;CU Angers Loire Métropole;France;2024-07-01 22:20:00+02:00;2024-07-01;22:20:00;-0.555;47.353;49222;49;Mozé-sur-Louet;CC Loire Layon Aubance;France;1;C;13858;15;NON
3937;30079507;1552c6f4-31de-4d44-86b4-c937cbfedee8;2024-07-01 06:50:00+02:00;2024-07-01;06:50:00;6.735;43.472;83061;83;Fréjus;CA Estérel Côte d'Azur Agglomération;France;2024-07-01 07:30:00+02:00;2024-07-01;07:30:00;7.09;43.613;06018;06;Biot;CA de Sophia Antipolis;France;1;C;43476;37;NON
19763;30098068;d97ba1ce-85bc-4efa-9469-08913c772662;2024-07-01 14:10:00+02:00;2024-07-01;14:10:00;2.884;50.443;62413;62;Harnes;CA de Lens - Liévin;France;2024-07-01 14:30:00+02:00;2024-07-01;14:30:00;2.825;50.459;62842;62;Vendin-le-Vieil;CA de Lens - Liévin;France;1;C;7959;13;NON
30920;30110231;ca5570a7-2c54-4f6d-8fc1-51472fad84eb;2024-07-01 18:00:00+02:00;2024-07-01;18:00:00;5.718;45.153;38151;38;Échirolles;Grenoble-Alpes-Métropole;France;2024-07-01 18:10:00+02:00;2024-07-01;18:10:00;5.85;45.239;38397;38;Saint-Ismier;CC Le Grésivaudan;France;1;C;15986;15;NON
19787;30145006;760dfe54-7371-4cf9-91af-635e7b1c87cd;2024-07-01 14:10:00+02:00;2024-07-01;14:10:00;2.42;48.637;91228;91;Évry-Courcouronnes;CA Grand Paris Sud Seine Essonne Sénart;France;2024-07-01 14:40:00+02:00;2024-07-01;14:40:00;2.469;48.403;91405;91;Milly-la-Forêt;CC des Deux Vallées;France;1;C;33587;31;NON
30415;30109975;ee05d013-980c-44aa-b91a-3cf6e854f367;2024-07-01 17:50:00+02:00;2024-07-01;17:50:00;1.253;49.512;76453;76;Morgny-la-Pommeraye;CC Inter-Caux-Vexin;France;2024-07-01 18:20:00+02:00;2024-07-01;18:20:00;1.088;49.427;76540;76;Rouen;Métropole Rouen Normandie;France;1;C;18539;26;NON
14584;30089221;756eafe8-7b23-4705-bb3f-aa7c08f33f23;2024-07-01 08:30:00+02:00;2024-07-01;08:30:00;4.022;43.612;34154;34;Mauguio;CA du Pays de l'Or;France;2024-07-01 09:00:00+02:00;2024-07-01;09:00:00;3.892;43.603;34172;34;Montpellier;Montpellier Méditerranée Métropole;France;1;C;12470;20;NON
22305;30103252;e6d85f32-410a-42a8-901f-dc0dcc6f0628;2024-07-01 16:20:00+02:00;2024-07-01;16:20:00;2.121;49.422;60057;60;Beauvais;CA du Beauvaisis;France;2024-07-01 16:50:00+02:00;2024-07-01;16:50:00;1.874;49.578;60435;60;Morvillers;CC de la Picardie Verte;France;1;C;27483;31;NON
479;30118708;148b9e63-5b5f-4f51-b764-12d2da1833ce;2024-07-01 03:10:00+02:00;2024-07-01;03:10:00;2.129;48.805;78646;78;Versailles;CA Versailles Grand Parc (CAVGP);France;2024-07-01 03:30:00+02:00;2024-07-01;03:30:00;2.247;48.717;91477;91;Palaiseau;CA Communauté Paris-Saclay;France;1;C;17779;20;NON
2293;30121859;bf9ff06f-ef92-473a-8223-3499e29c04a9;2024-07-01 06:10:00+02:00;2024-07-01;06:10:00;2.524;48.781;94055;94;Ormesson-sur-Marne;Métropole du Grand Paris;France;2024-07-01 06:40:00+02:00;2024-07-01;06:40:00;2.214;48.772;78640;78;Vélizy-Villacoublay;CA Versailles Grand Parc (CAVGP);France;1;C;29311;37;NON
3174;30095181;6057bac1-a14e-4c42-9c1e-58ec0c033ff9;2024-07-01 06:40:00+02:00;2024-07-01;06:40:00;5.404;45.817;38247;38;Montalieu-Vercieu;CC Les Balcons du Dauphiné;France;2024-07-01 07:10:00+02:00;2024-07-01;07:10:00;5.283;45.848;01390;01;Saint-Vulbas;CC de la Plaine de l'Ain;France;1;B;21006;26;NON
9080;30084377;b62427f7-4dd7-416e-8478-b7020f7802e6;2024-07-01 07:40:00+02:00;2024-07-01;07:40:00;-1.547;47.214;44109;44;Nantes;Nantes Métropole;France;2024-07-01 08:50:00+02:00;2024-07-01;08:50:00;-1.412;46.668;85191;85;La Roche-sur-Yon;CA La Roche-sur-Yon Agglomération;France;1;C;70904;62;NON
21401;30147684;e638d9b5-d33e-40d9-8fe1-bddaa37eceae;2024-07-01 15:50:00+02:00;2024-07-01;15:50:00;2.214;48.986;95252;95;Franconville;CA Val Parisis;France;2024-07-01 16:00:00+02:00;2024-07-01;16:00:00;2.062;49.07;95476;95;Osny;CA de Cergy-Pontoise;France;1;C;17682;13;NON
36986;30169739;9b3b3cc5-1f1a-4617-97cd-e715318a3e03;2024-07-01 23:20:00+02:00;2024-07-01;23:20:00;2.353;48.757;94065;94;Rungis;Métropole du Grand Paris;France;2024-07-02 00:10:00+02:00;2024-07-02;00:10:00;2.187;48.974;95176;95;Cormeilles-en-Parisis;CA Val Parisis;France;1;C;35374;45;NON
8534;30083819;1269b954-6054-45fe-beae-74fac36d773b;2024-07-01 07:40:00+02:00;2024-07-01;07:40:00;6.671;45.2;73157;73;Modane;CC Haute Maurienne Vanoise;France;2024-07-01 08:00:00+02:00;2024-07-01;08:00:00;6.449;45.231;73258;73;Saint-Martin-de-la-Porte;CC Maurienne Galibier;France;1;C;20415;22;NON
28766;30109128;b415669d-dc3d-4578-9d99-4226dc122ffd;2024-07-01 17:30:00+02:00;2024-07-01;17:30:00;1.005;49.292;76231;76;Elbeuf;Métropole Rouen Normandie;France;2024-07-01 18:00:00+02:00;2024-07-01;18:00:00;1.048;49.41;76322;76;Le Grand-Quevilly;Métropole Rouen Normandie;France;1;C;17745;20;NON
950;30120632;b90e1b1a-072c-4620-93db-e0742bb459a7;2024-07-01 04:40:00+02:00;2024-07-01;04:40:00;1.021;44.064;82169;82;Saint-Nicolas-de-la-Grave;CC Terres des Confluences;France;2024-07-01 04:50:00+02:00;2024-07-01;04:50:00;0.881;44.118;82186;82;Valence;CC des Deux Rives;France;1;C;14040;14;NON
1370;30120937;e70a502b-50a2-427e-bb81-27bb3333a625;2024-07-01 05:20:00+02:00;2024-07-01;05:20:00;55.484;-20.889;97411;974;Saint-Denis;CA Intercommunale du Nord de la Réunion (CINOR);France;2024-07-01 05:30:00+02:00;2024-07-01;05:30:00;55.532;-20.894;97418;974;Sainte-Marie;CA Intercommunale du Nord de la Réunion (CINOR);France;1;C;6883;10;NON
3045;30078807;b5e740d1-00c9-4fea-8747-d70858a6bbc3;2024-07-01 06:30:00+02:00;2024-07-01;06:30:00;1.083;49.44;76540;76;Rouen;Métropole Rouen Normandie;France;2024-07-01 07:00:00+02:00;2024-07-01;07:00:00;1.192;49.252;27701;27;Val-de-Reuil;CA Seine-Eure;France;1;C;32934;28;NON
8447;30083745;ad7cc15f-c6d4-4fb7-af93-3c467da1a8e9;2024-07-01 07:40:00+02:00;2024-07-01;07:40:00;5.929;45.565;73065;73;Chambéry;CA du Grand Chambéry;France;2024-07-01 08:20:00+02:00;2024-07-01;08:20:00;6.131;45.922;74010;74;Annecy;CA du Grand Annecy;France;1;C;52543;43;NON
27902;30151055;7dc2337c-222e-4240-aabf-ca11ce92b34d;2024-07-01 17:20:00+02:00;2024-07-01;17:20:00;-1.542;47.197;44109;44;Nantes;Nantes Métropole;France;2024-07-01 17:50:00+02:00;2024-07-01;17:50:00;-1.599;46.994;44083;44;La Limouzinière;CC Grand Lieu Communauté;France;1;C;28071;34;NON
23916;30104306;7d6518b1-b4db-4d4c-b13b-2971cb23f0a2;2024-07-01 16:50:00+02:00;2024-07-01;16:50:00;5.987;47.276;25212;25;École-Valentin;CU Grand Besançon Métropole;France;2024-07-01 17:40:00+02:00;2024-07-01;17:40:00;6.809;47.509;25388;25;Montbéliard;CA Pays de Montbéliard Agglomération;France;1;A;76094;52;NON
17583;30095705;f56737f4-39d2-40c3-823c-7d32cc06c6ab;2024-07-01 12:20:00+02:00;2024-07-01;12:20:00;2.749;50.451;62386;62;Grenay;CA de Lens - Liévin;France;2024-07-01 12:40:00+02:00;2024-07-01;12:40:00;2.818;50.418;62291;62;Éleu-dit-Leauwette;CA de Lens - Liévin;France;1;C;9753;13;NON
32390;30112210;e634d7b3-a827-47c0-b3a8-06a9e852045a;2024-07-01 18:20:00+02:00;2024-07-01;18:20:00;6.995;43.568;06030;06;Le Cannet;CA Cannes Pays de Lérins;France;2024-07-01 18:30:00+02:00;2024-07-01;18:30:00;7.052;43.58;06155;06;Vallauris;CA de Sophia Antipolis;France;1;C;7837;15;NON
4395;30079799;bd0ad4ce-107a-433a-93a1-7c7080410c54;2024-07-01 07:00:00+02:00;2024-07-01;07:00:00;-1.836;46.634;85035;85;Bretignolles-sur-Mer;CA du Pays de Saint-Gilles-Croix-de-Vie;France;2024-07-01 07:50:00+02:00;2024-07-01;07:50:00;-1.409;46.667;85191;85;La Roche-sur-Yon;CA La Roche-sur-Yon Agglomération;France;1;C;42735;43;NON
34301;30106838;76c176da-e548-4e18-b9bc-b43a68f78904;2024-07-01 19:50:00+02:00;2024-07-01;19:50:00;4.891;43.978;84141;84;Vedène;CA du Grand Avignon (COGA);France;2024-07-01 20:00:00+02:00;2024-07-01;20:00:00;4.879;43.983;84092;84;Le Pontet;CA du Grand Avignon (COGA);France;1;C;2184;6;NON
923;30120579;a2b44c5f-0ac7-41cb-bae3-49280966c4cb;2024-07-01 04:40:00+02:00;2024-07-01;04:40:00;2.522;48.945;93071;93;Sevran;Métropole du Grand Paris;France;2024-07-01 04:50:00+02:00;2024-07-01;04:50:00;2.52;48.997;95527;95;Roissy-en-France;CA Roissy Pays de France;France;1;C;9616;13;NON
35817;30113406;bc9bea08-1146-41a4-87e9-ed842394a3db;2024-07-01 21:20:00+02:00;2024-07-01;21:20:00;2.284;48.959;95018;95;Argenteuil;Métropole du Grand Paris;France;2024-07-01 21:30:00+02:00;2024-07-01;21:30:00;2.303;48.969;95210;95;Enghien-les-Bains;CA Plaine Vallée;France;1;C;2676;8;NON
33835;30106500;16d0951f-eb85-4904-a8ae-57d2ba77ebab;2024-07-01 19:20:00+02:00;2024-07-01;19:20:00;7.399;47.758;68278;68;Rixheim;CA Mulhouse Alsace Agglomération;France;2024-07-01 19:30:00+02:00;2024-07-01;19:30:00;7.38;47.77;68154;68;Illzach;CA Mulhouse Alsace Agglomération;France;1;C;2853;6;NON
9642;30084548;a4f31761-2185-49d7-9ee6-8325e8c0e813;2024-07-01 07:50:00+02:00;2024-07-01;07:50:00;-1.209;48.355;35115;35;Fougères;CA Fougères Agglomération;France;2024-07-01 08:30:00+02:00;2024-07-01;08:30:00;-1.693;48.135;35278;35;Saint-Grégoire;Rennes Métropole;France;1;C;47311;38;NON
5100;30123278;5f4621c3-129d-49f7-bd89-b4c5f6348795;2024-07-01 07:10:00+02:00;2024-07-01;07:10:00;-0.707;47.635;49176;49;Le Lion-d'Angers;CC des Vallées du Haut-Anjou;France;2024-07-01 07:30:00+02:00;2024-07-01;07:30:00;-0.611;47.515;49015;49;Avrillé;CU Angers Loire Métropole;France;1;C;20348;18;NON
31581;30153432;d910de23-8834-4b6f-b7f0-b6f7a8849a42;2024-07-01 18:00:00+02:00;2024-07-01;18:00:00;2.064;48.899;78551;78;Saint-Germain-en-Laye;CA Saint Germain Boucles de Seine;France;2024-07-01 18:00:00+02:00;2024-07-01;18:00:00;2.09;48.898;78551;78;Saint-Germain-en-Laye;CA Saint Germain Boucles de Seine;France;1;C;2795;6;NON
